number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_epoche_count,params_hidden_neurons_count,params_learning_rate,params_use_sigmoid,system_attrs_nsga2:generation,state
37,0.9777530589543938,31.0,2024-11-25 13:09:04.890673,2024-11-25 13:09:05.261977,0 days 00:00:00.371304,2,31,13,0.009000000000000001,False,0,COMPLETE
38,0.9777530589543938,53.0,2024-11-25 13:09:05.263090,2024-11-25 13:09:05.847469,0 days 00:00:00.584379,3,53,5,0.003,False,0,COMPLETE
39,0.9553571428571429,156.0,2024-11-25 13:09:05.848393,2024-11-25 13:09:07.446112,0 days 00:00:01.597719,4,156,8,0.006,False,0,COMPLETE
40,0.8611111111111112,33.0,2024-11-25 13:09:07.447018,2024-11-25 13:09:07.780337,0 days 00:00:00.333319,5,33,11,0.002,False,0,COMPLETE
41,0.9777530589543938,55.0,2024-11-25 13:09:07.780986,2024-11-25 13:09:08.443595,0 days 00:00:00.662609,2,55,14,0.001,False,0,COMPLETE
42,0.9777530589543938,38.0,2024-11-25 13:09:08.444193,2024-11-25 13:09:08.853147,0 days 00:00:00.408954,4,38,10,0.007,False,0,COMPLETE
43,0.9777530589543938,35.0,2024-11-25 13:09:08.853916,2024-11-25 13:09:09.205250,0 days 00:00:00.351334,5,35,13,0.003,False,0,COMPLETE
44,0.9777530589543938,299.0,2024-11-25 13:09:09.205788,2024-11-25 13:09:12.765660,0 days 00:00:03.559872,2,299,8,0.001,False,0,COMPLETE
45,0.9777530589543938,198.0,2024-11-25 13:09:12.766323,2024-11-25 13:09:14.881682,0 days 00:00:02.115359,5,198,14,0.004,True,0,COMPLETE
46,0.9553571428571429,133.0,2024-11-25 13:09:14.882681,2024-11-25 13:09:16.397564,0 days 00:00:01.514883,2,133,5,0.003,False,0,COMPLETE
47,0.9553571428571429,94.0,2024-11-25 13:09:16.398236,2024-11-25 13:09:17.831062,0 days 00:00:01.432826,1,94,14,0.005,True,0,COMPLETE
48,0.9777530589543938,72.0,2024-11-25 13:09:17.831711,2024-11-25 13:09:18.923131,0 days 00:00:01.091420,1,72,5,0.009000000000000001,True,0,COMPLETE
49,0.9553571428571429,219.0,2024-11-25 13:09:18.923883,2024-11-25 13:09:22.222483,0 days 00:00:03.298600,1,219,10,0.007,True,0,COMPLETE
50,0.9777530589543938,92.0,2024-11-25 13:09:22.223072,2024-11-25 13:09:23.198068,0 days 00:00:00.974996,3,92,6,0.01,False,1,COMPLETE
51,0.9553571428571429,232.0,2024-11-25 13:09:23.199001,2024-11-25 13:09:26.724768,0 days 00:00:03.525767,1,232,13,0.003,True,1,COMPLETE
52,0.9326599326599326,75.0,2024-11-25 13:09:26.725331,2024-11-25 13:09:27.599182,0 days 00:00:00.873851,2,75,14,0.007,False,1,COMPLETE
53,0.9777530589543938,75.0,2024-11-25 13:09:27.599773,2024-11-25 13:09:28.417910,0 days 00:00:00.818137,4,75,6,0.009000000000000001,True,1,COMPLETE
54,0.9553571428571429,82.0,2024-11-25 13:09:28.418888,2024-11-25 13:09:29.629771,0 days 00:00:01.210883,1,82,15,0.007,False,1,COMPLETE
55,0.9553571428571429,94.0,2024-11-25 13:09:29.630332,2024-11-25 13:09:30.617325,0 days 00:00:00.986993,4,94,10,0.007,False,1,COMPLETE
56,0.9777530589543938,213.0,2024-11-25 13:09:30.617982,2024-11-25 13:09:33.128404,0 days 00:00:02.510422,2,213,10,0.009000000000000001,False,1,COMPLETE
57,0.9777530589543938,198.0,2024-11-25 13:09:33.129153,2024-11-25 13:09:35.244377,0 days 00:00:02.115224,5,198,14,0.004,True,1,COMPLETE
58,0.8857142857142857,32.0,2024-11-25 13:09:35.245247,2024-11-25 13:09:35.628258,0 days 00:00:00.383011,3,32,13,0.007,True,1,COMPLETE
59,0.6443228454172367,37.0,2024-11-25 13:09:35.628846,2024-11-25 13:09:36.038184,0 days 00:00:00.409338,3,37,5,0.009000000000000001,True,1,COMPLETE
60,0.9777530589543938,119.0,2024-11-25 13:09:36.039344,2024-11-25 13:09:37.291049,0 days 00:00:01.251705,4,119,10,0.009000000000000001,False,1,COMPLETE
61,0.8086124401913877,55.0,2024-11-25 13:09:37.291596,2024-11-25 13:09:37.890259,0 days 00:00:00.598663,5,55,14,0.001,True,1,COMPLETE
62,0.9326599326599326,30.0,2024-11-25 13:09:37.890910,2024-11-25 13:09:38.281149,0 days 00:00:00.390239,2,30,14,0.007,True,1,COMPLETE
63,0.9777530589543938,53.0,2024-11-25 13:09:38.282279,2024-11-25 13:09:38.821300,0 days 00:00:00.539021,4,53,5,0.003,False,1,COMPLETE
64,0.9095022624434389,33.0,2024-11-25 13:09:38.822302,2024-11-25 13:09:39.160120,0 days 00:00:00.337818,5,33,11,0.002,False,1,COMPLETE
65,0.9553571428571429,34.0,2024-11-25 13:09:39.161265,2024-11-25 13:09:39.528410,0 days 00:00:00.367145,3,34,13,0.009000000000000001,False,1,COMPLETE
66,0.9553571428571429,53.0,2024-11-25 13:09:39.529518,2024-11-25 13:09:40.077112,0 days 00:00:00.547594,5,53,5,0.003,False,1,COMPLETE
67,0.9777530589543938,143.0,2024-11-25 13:09:40.077976,2024-11-25 13:09:42.130184,0 days 00:00:02.052208,1,143,8,0.004,False,1,COMPLETE
68,0.6443228454172367,63.0,2024-11-25 13:09:42.131154,2024-11-25 13:09:42.801046,0 days 00:00:00.669892,5,63,7,0.002,True,1,COMPLETE
69,0.9553571428571429,208.0,2024-11-25 13:09:42.802081,2024-11-25 13:09:45.805324,0 days 00:00:03.003243,1,208,9,0.001,False,1,COMPLETE
70,0.9777530589543938,208.0,2024-11-25 13:09:45.806294,2024-11-25 13:09:48.039521,0 days 00:00:02.233227,4,208,7,0.009000000000000001,True,1,COMPLETE
71,0.9553571428571429,147.0,2024-11-25 13:09:48.040791,2024-11-25 13:09:49.781117,0 days 00:00:01.740326,2,147,14,0.003,False,1,COMPLETE
72,0.318922305764411,34.0,2024-11-25 13:09:49.781777,2024-11-25 13:09:50.307816,0 days 00:00:00.526039,1,34,12,0.001,True,1,COMPLETE
73,0.48613291470434333,72.0,2024-11-25 13:09:50.308878,2024-11-25 13:09:51.387067,0 days 00:00:01.078189,1,72,5,0.001,True,1,COMPLETE
